Gene stable ID	Gene name	GO term accession
ENSMUSG00000034227	Foxj1	GO:0001228
ENSMUSG00000048540	Nhlh2	GO:0001228
ENSMUSG00000048540	Nhlh2	GO:0001228
ENSMUSG00000048540	Nhlh2	GO:0001228
ENSMUSG00000001655	Hoxc13	GO:0001228
ENSMUSG00000001656	Hoxc11	GO:0001228
ENSMUSG00000001656	Hoxc11	GO:0001228
ENSMUSG00000022484	Hoxc10	GO:0001228
ENSMUSG00000022484	Hoxc10	GO:0001228
ENSMUSG00000075394	Hoxc4	GO:0001228
ENSMUSG00000075394	Hoxc4	GO:0001228
ENSMUSG00000028163	Nfkb1	GO:0001228
ENSMUSG00000028163	Nfkb1	GO:0001228
ENSMUSG00000028163	Nfkb1	GO:0001228
ENSMUSG00000040632	Nrl	GO:0001228
ENSMUSG00000040632	Nrl	GO:0001228
ENSMUSG00000040632	Nrl	GO:0001228
ENSMUSG00000040632	Nrl	GO:0001228
ENSMUSG00000040632	Nrl	GO:0001228
ENSMUSG00000040632	Nrl	GO:0001228
ENSMUSG00000040632	Nrl	GO:0001228
ENSMUSG00000032368	Zic1	GO:0001228
ENSMUSG00000032368	Zic1	GO:0001228
ENSMUSG00000042406	Atf4	GO:0001228
ENSMUSG00000042406	Atf4	GO:0001228
ENSMUSG00000032015	Pou2f3	GO:0001228
ENSMUSG00000032369	Plscr1	GO:0001228
ENSMUSG00000032369	Plscr1	GO:0001228
ENSMUSG00000032369	Plscr1	GO:0001228
ENSMUSG00000032369	Plscr1	GO:0001228
ENSMUSG00000053129	Gsx1	GO:0001228
ENSMUSG00000053129	Gsx1	GO:0001228
ENSMUSG00000029644	Pdx1	GO:0001228
ENSMUSG00000094870	Zfp131	GO:0001228
ENSMUSG00000094870	Zfp131	GO:0001228
ENSMUSG00000094870	Zfp131	GO:0001228
ENSMUSG00000094870	Zfp131	GO:0001228
ENSMUSG00000094870	Zfp131	GO:0001228
ENSMUSG00000032372	Plscr2	GO:0001228
ENSMUSG00000032372	Plscr2	GO:0001228
ENSMUSG00000033943	Mga	GO:0001228
ENSMUSG00000033943	Mga	GO:0001228
ENSMUSG00000033943	Mga	GO:0001228
ENSMUSG00000059897	Zfp930	GO:0001228
ENSMUSG00000059897	Zfp930	GO:0001228
ENSMUSG00000059897	Zfp930	GO:0001228
ENSMUSG00000074139	1700057G04Rik	GO:0001228
ENSMUSG00000074139	1700057G04Rik	GO:0001228
ENSMUSG00000074139	1700057G04Rik	GO:0001228
ENSMUSG00000074139	1700057G04Rik	GO:0001228
ENSMUSG00000055024	Ep300	GO:0001216
ENSMUSG00000055024	Ep300	GO:0001216
ENSMUSG00000037984	Neurod6	GO:0001228
ENSMUSG00000008193	Spib	GO:0001228
ENSMUSG00000044647	Csrnp3	GO:0001228
ENSMUSG00000044647	Csrnp3	GO:0001228
ENSMUSG00000044647	Csrnp3	GO:0001228
ENSMUSG00000044647	Csrnp3	GO:0001228
ENSMUSG00000044647	Csrnp3	GO:0001228
ENSMUSG00000047861	Foxi1	GO:0001228
ENSMUSG00000047861	Foxi1	GO:0001228
ENSMUSG00000047861	Foxi1	GO:0001228
ENSMUSG00000022389	Tef	GO:0001228
ENSMUSG00000022389	Tef	GO:0001228
ENSMUSG00000022389	Tef	GO:0001228
ENSMUSG00000002147	Stat6	GO:0001228
ENSMUSG00000002147	Stat6	GO:0001228
ENSMUSG00000002147	Stat6	GO:0001228
ENSMUSG00000042508	Dmtf1	GO:0001228
ENSMUSG00000042508	Dmtf1	GO:0001228
ENSMUSG00000042508	Dmtf1	GO:0001228
ENSMUSG00000042508	Dmtf1	GO:0001228
ENSMUSG00000042508	Dmtf1	GO:0001228
ENSMUSG00000042508	Dmtf1	GO:0001228
ENSMUSG00000046532	Ar	GO:0001228
ENSMUSG00000046532	Ar	GO:0001228
ENSMUSG00000036120	Rfxank	GO:0001228
ENSMUSG00000036120	Rfxank	GO:0001228
ENSMUSG00000036120	Rfxank	GO:0001228
ENSMUSG00000020919	Stat5b	GO:0001228
ENSMUSG00000020919	Stat5b	GO:0001228
ENSMUSG00000020919	Stat5b	GO:0001228
ENSMUSG00000020919	Stat5b	GO:0001228
ENSMUSG00000020919	Stat5b	GO:0001228
ENSMUSG00000030557	Mef2a	GO:0001228
ENSMUSG00000030557	Mef2a	GO:0001228
ENSMUSG00000030557	Mef2a	GO:0001228
ENSMUSG00000030557	Mef2a	GO:0001228
ENSMUSG00000030557	Mef2a	GO:0001228
ENSMUSG00000030557	Mef2a	GO:0001228
ENSMUSG00000030557	Mef2a	GO:0001228
ENSMUSG00000030557	Mef2a	GO:0001228
ENSMUSG00000030557	Mef2a	GO:0001228
ENSMUSG00000030557	Mef2a	GO:0001228
ENSMUSG00000030557	Mef2a	GO:0001228
ENSMUSG00000030557	Mef2a	GO:0001228
ENSMUSG00000030557	Mef2a	GO:0001228
ENSMUSG00000030557	Mef2a	GO:0001228
ENSMUSG00000030557	Mef2a	GO:0001228
ENSMUSG00000030557	Mef2a	GO:0001228
ENSMUSG00000030557	Mef2a	GO:0001228
ENSMUSG00000030557	Mef2a	GO:0001228
ENSMUSG00000051413	Plagl2	GO:0001228
ENSMUSG00000051413	Plagl2	GO:0001228
ENSMUSG00000051413	Plagl2	GO:0001228
ENSMUSG00000079033	Mef2b	GO:0001228
ENSMUSG00000079033	Mef2b	GO:0001228
ENSMUSG00000079033	Mef2b	GO:0001228
ENSMUSG00000079033	Mef2b	GO:0001228
ENSMUSG00000079033	Mef2b	GO:0001228
ENSMUSG00000029238	Clock	GO:0001228
ENSMUSG00000029238	Clock	GO:0001228
ENSMUSG00000029238	Clock	GO:0001228
ENSMUSG00000029238	Clock	GO:0001228
ENSMUSG00000004043	Stat5a	GO:0001228
ENSMUSG00000004043	Stat5a	GO:0001228
ENSMUSG00000004043	Stat5a	GO:0001228
ENSMUSG00000004043	Stat5a	GO:0001228
ENSMUSG00000055210	Foxd2	GO:0001228
ENSMUSG00000055210	Foxd2	GO:0001228
